"doc_id","Tweet","sentiment"
"xdoc130","People think @apple aren't innovating...Hello have you read about the new #M7 chipset or looked over how the #fingerprint was engineered??",0
"xdoc131","Love this Muhammad Ali ad from @apple #thegreatest #thinkdifferent pic.twitter.com/uhYPsr33VW",1
"xdoc132","My dreams have been infiltrated by the iPhone 5s gold... @apple what have you done to me?",1
"xdoc133","@apple launched the TouchID at the right time.",1
"xdoc134","FOLLOW @APPLE NOW",0
"xdoc135","Hey @Apple. Please make the iPhones,etc sound like JARVIS someday--via updates. That would be freaking awesome!!",1
"xdoc136","Waiting for @apple to release the new iPad so homegirl can get one... #cmon #ihavethefirstone #giddyup",0
"xdoc137","THIS IS WHAT I WANT @APPLE @GOD @JESUS pic.twitter.com/SJVVjKA3Sd",0
"xdoc138","Dear @dstv and @apple. Well done! I was a bit sad that I missed the 1st ep of Suits but... ? pic.twitter.com/xshI3GQlku",-1
"xdoc139","@Apple launches in-store #iPhone recycling program http://ow.ly/oR69m  via @eldaily",0
"xdoc140","@BlakeGrahamPGA @BestBuy I'm starting to do that, I've always gone to the @apple store for any of there toys!",0
"xdoc141","Very True. @Apple iPhone: Designed in #California But Manufactured Fast All Around the World (Infographic) | http://ow.ly/oONxW",1
"xdoc142","I liked the original 3g IPhone @apple",1
"xdoc143","Check out some new things to look forward to with @Apple announcing #iPhone 5C and 5S and confirming #iOS7 http://ow.ly/oR9J3",0
"xdoc144","How @Apple Is Improving Mobile App Security http://fw.to/Qo0DqXT  #Mobile #App",1
"xdoc145","@mrjamesnoble One can only try to read the signs and connect the dots. @Apple is however the one company I believe can do such a thing ??",0
"xdoc146","Everyone come out & support us @7pm @Apple ?????",1
"xdoc147","@mac @apple creative! #5C @iMore pic.twitter.com/QBI2za6XUv",1
"xdoc148","I missed big picture of yesterday @Apple announcement - is the #iPad. With free #iWork and 64bit Apple just cemented no1 position on tablets",0
"xdoc149","This phone could be the next huge thing...Look out @Apple http://ow.ly/oOcPF   #phoneblocks",0
"xdoc150","The worldwide #mobile phone market is forecast to grow 7.3% year over year in 2013 with @Apple iOS the number two operating system, via @IDC",0
"xdoc151","#geekchic RT @peterloudis: Genius Idea.  Who is going to get on this? @microsoft @motorola @apple @google http://bit.ly/16lfd2s  #smartphone",1
"xdoc152","@pr1nc355haybug no way. It's perfect in every way. @apple steps up their game every single update.",1
"xdoc153","Off to @apple.  It's #teamiphone time once again!!!!",0
"xdoc154","Will @Apple Cheaper #iPhone succeed? http://ht.ly/oOf4V",1
"xdoc155","Can I have one of those colourful cases for my iPhone 5 @apple",0
"xdoc156","Well, @Nokia's surprise tomorrow couldn't possibly be a gold case because, surely, @Apple holds a patent on that colour now. #WinPhan",1
"xdoc157","@Jon4Lakers @TechnoBuffalo this is so annoying @apple do something cool and are the first ones to do it then of coarse Samsung has to copy:p",-1
"xdoc158","One more LED is simply more light - one more LED with a different color that solves an old problem is an #innovation @Apple",1
"xdoc159","@ETCanada @justinbieber also nice ad/promo for #iphone @apple   http://instagram.com/p/eOODXzgvpq/",1
"xdoc160","Impressive talk w/ Steve at @Clusocluso's office about @Apple's latest announcements http://instagram.com/p/eKA4GsJKil/",1
"xdoc161","Match made in heaven @Burberry  and @apple #Digitallyperfect #fashion meets #Tech For Their Next Trick.... pic.twitter.com/G16DMiMDT9",0
"xdoc162","Why @Apple is setting the right price with the #iPhone5C, to eliminate grey market inefficiencies. $AAPL - http://wp.me/pEkSv-7F",1
"xdoc163","I want iOS 7 already! @apple ??",0
"xdoc164","@Apple will twerk for a macbook",0
"xdoc165","@Apple 's Key To #Innovation: Iterations, Not Just Breakthroughs http://buff.ly/1dZBmbp",1
"xdoc166","@JMLColley @Apple thanks for taking it in the right spirit !!!! ??",1
"xdoc167","I wish! RT @TheEspinAlien GIVE ME THIS .@apple pic.twitter.com/yArBR8M7fB",0
"xdoc168","@apple @twitter @ibm Happy Programmers' Day folks!",1
"xdoc169","@iBrooklynB @Apple iPhone 5s in gold. You still playing for qpr",1
"xdoc170","Bueno Asi Como Cuando Apple Saca Iphones Mas Baratos .... Bueno Asi !! @apple #Iphone5c pic.twitter.com/LoT9CY2ULV",0
"xdoc171","FOLLOW @APPLE NOW",0
"xdoc172","@highlyHIGHtori @Apple summin like that... I just be chillin tho",1
"xdoc173","@apple #AppleFreak",0
"xdoc174","FOLLOW @APPLE NOW",0
"xdoc175","@apple i demand you give me an iphone",0
"xdoc176","@Naturally_M33H @Apple----wow all this morning",0
"xdoc177","@Apple has announced the iPhone 5S, iPhone 5C, iOS 7 release date! Thoughts? #iPhone",0
"xdoc178","@apple my dad won't buy me the iPhone 5s help",0
"xdoc179","@7evenStarz @Apple Dude the 64 bit processor will be faster on the native OS even without the ram. This is a stepping stone to 64 bit mobile",1
"xdoc180","Pretty sure if I could have any voice in the world it would be @apple's own #JonyIve",1
"xdoc181","#iPhone5c #boutthatlife @Apple",0
"xdoc182","@iahhc @mcmillen1 @OITHelpDesk @cmb1974 What is your favorite new @Apple #iPhone5C color? Mine is #Pink #ApplePicking @Sprint",1
"xdoc183","A3) yes. @Samsung and @Apple are volleying with quicker and quicker devices. Helping to raise all of mobile's speed/UX #mobilebiz",1
"xdoc184","Ringrazio Gabriele e l'assistenza @apple GRANDI!",0
"xdoc185","@MissPhilly2013 @Apple should have waited for 5S. They come in cute colors now!",1
"xdoc186","#iOS7 is actually more exciting than the actual new hardware from @Apple so either way we are all getting new iPhones.",1
"xdoc187","@7evenStarz @Apple it is paving the way to 64 bit mobile future. The S model is the perfect time to make this transition.",1
"xdoc188","Crazy about @Apple iPhone 5s in #India. Use #eBayCheck @eBayIndia. R.I.P India Rupee, welcome #eBayCheck.",-1
"xdoc189","Top #business #apps for @Apple's iPhone, iPad. What are your favs? #mobile - http://ow.ly/oFQgC",1
"xdoc190","What @Om Malik likes and doesn't like about the new @Apple iPhones http://buff.ly/1eGmopu",1
"xdoc191","#iBeacons may be #iOS 7's most interesting hidden feature @apple #iPhone http://fb.me/1kLk3lVN6",1
"xdoc192","congrats on the shiny new technologically advanced iPhones @apple BUT WHEN WILL YOU LET ME OPT OUT OF GROUP TEXTS YOU'RE KILLIN ME",1
"xdoc193","@keeeruh luckily the gems @apple are fixing it for freeee! ??",1
"xdoc194","@stephenclark @Apple Wasn't that absolutely darling!",1
"xdoc195","@iBrooklynB @Apple Green:)",0
"xdoc196","WOW that's so raven @apple http://t.imehop.com/14Pf3gc",1
"xdoc197","#IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune",0
"xdoc198","@EllieDash haha #parentoftheyear @apple",0
"xdoc199","Why does @windowsphone and @Android constantly try to compete with @apple it's levels to this, and y'all just not there.",0
"xdoc200","I have the same @Apple iPhone consumer feeling launch as the market - great phone, too expensive!",0
"xdoc201","@momentsfade @Apple LMAO!  That is too darn funny!",-1
"xdoc202","@DarrenSproat @nokia @Apple don't forget it's #innovation",1
"xdoc203","Dear @Apple: Vladimir Putin says he likes the new iPhone 5c but wishes it came in red+black #VladSays",1
"xdoc204","I want iOS7 now please @apple",0
"xdoc205","@apple get on it",0
"xdoc206",".@c7five asked Siri an important question. http://j.mp/19L1cLj  At least @Apple was honest.",1
"xdoc207","Topics: Highlights for @Apple's iPhone 5s, Putin's U.S. PR firm, @twitter's IPO and @Socialwally brings social media posts to HD screens.",0
"xdoc208","@IseeBlighty enjoy! ...  ""@johan_barnard: Hahaha some people just have too much time! @android vs @apple ... Again! pic.twitter.com/ym1A0Z6RzJ""",1
"xdoc209","??????? @apple come back for new twit's",0
"xdoc210","Loved the metallic look. Not a big fan of #FingerPrintScanning. already have a pastic backed touchscreen smartphone. @Apple are u listening?",1
"xdoc211","@jonjonnyp @Apple Danny: yes. But anyone with a brian will. My Gazelle offer for 350 for my 5 is still good until the 22nd...",1
"xdoc212","Don't worry about your stock price @Apple, @Microsoft stock price shot up 7% just by firing 1 employee.",-1
"xdoc213","now available in the Google Play app store, the @CreativeFutur app. coming to @Apple soon #UWScreative pic.twitter.com/bGFBBQiu0V",1
"xdoc214","A #IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune",0
"xdoc215","Apple authorized repair guy just told me to take my iPad someplace else since Apple ""Doesn't repair iPads."" Is that true @Apple?",0
"xdoc216","@AccordingToNina @Apple @akemisue @ShastaAnne no case needed... I hope ;)",0
"xdoc217","Can @apple please come out with a black and gold iPhone!",1
"xdoc218","@natz0711 @mishi_za @SamsungSA @Apple the infrastructure is regulated and improved by government ,not them",1
"xdoc219","Dammit @Apple, take my money for a new  5S already #brokenhomebutton",0
"xdoc220","@Apple I want the new iPhone update already!!!! UGH #Dying #Need #hurryup!!!!!",-1
"xdoc221","@JohnathonV @Apple NEVER stop learning!!",0
"xdoc222","Rivals turn to @Twitter as @Apple announces new #iPhones, http://ow.ly/oMrmN",0
"xdoc223","@iBrooklynB @Apple Iphone 5s white/silver",0
"xdoc224",".@Apple made the first mass-market color digital camera. #TakenToOz Fun article from @Mashable http://on.mash.to/1bQ5Lp3",1
"xdoc225","@jenniebond1 @Apple excellent glad to hear you have fully functioning gadgets.",1
"xdoc226","How can you people believe in a P/E ratio of greater than 22 for @twitter when @apple is around 10 #valuation #startups #IPO",0
"xdoc227","Dear @apple please give me an iPhone 7 so that I can laugh at all the peasants with their 5's.",0
"xdoc228","It's dumb to diss @apple #touchid until developers have a chance to develop on it. Same as when the orig iPhone came out b4 the AppStore",-1
"xdoc229","#IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune #IPOD GENERATION",0
"xdoc230","#eltonjohn #itunesfestival @apple unreal to watch live via appletv straight to HD TV.",1
"xdoc231","Guess who has Champagne color as well #iphone5s #iphone5c #tools #homeimprovement #homeowners #home @Apple http://ow.ly/i/38y2B",1
"xdoc232","C #IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune",0
"xdoc233","Darnit lol ""@Don_1ZA: @mishi_za @natz0711 @SamsungSA perfect time to move to @Apple they don't seem to care about you""",1
"xdoc234","Progressive @Apple Fans, Prepare to Support the Koch Brothers! http://ow.ly/oPEAX  #p2 #1u #uniteblue #ctl #libcrib #ows",1
"xdoc235","@Apple - iOS device is in motion, then iMessage sender text bubbles are red. #simple",0
"xdoc236","Apple announces iPhone 5S, iPhone 5C, iOS 7 release date! Thoughts? undefined   @apple @ShopBreaMall",-1
"xdoc237","@7evenStarz @Apple so Mikey tell us how you really feel ;-)",0
"xdoc238","Next @apple idea. NFC on iPods. ""Man you gotta hear this song. ""Taps ipods ""woe this song is great"" #boomheadshot",0
"xdoc239","@applenews @apple What if you guys Create an #iShoes5S that would be something #iphone #mac #apple #applenews #appleevent",0
"xdoc240","Thanks 4 this @sharpmagazine: Fingerprint recognition? iOS7? Everything You Need to Know About @Apple's New #iPhone: http://bit.ly/14MbzLm",0
"xdoc241","I'm interested to have a look at all new #Lumia by @Apple  cc: @nokia @potasiyam @thehoneymad @isfarahmad",0
"xdoc242","dear @apple, please bring back the option of matte instead of glossy for MacBookPro screens. and bring back the 17"" while you're at it.",-1
"xdoc243","@TehGreenMC @Ghostt_Gaming @Microsoft @google @Apple @anyone well apparently anyone lives in London",1
"xdoc244","@Apple #iPhone5S VS. Apple #iPhone5 Epic Battle! - @GeekHelpingHand http://buff.ly/187kJCd",0
"xdoc245","@apple Some police dept in Florida could use some #AppleCare assistance. #ZIMMERMAN",0
"xdoc246","@apple what's going on with you're store.. Gonna announce a new MacBook Pro?? Please #excited #wantapple #impatient",0
"xdoc247","@apple - please send @BoydScot and iPhone rush delivery so I can snap chat him. Kthanks ??????",0
"xdoc248","Aiming at high end with #iPhones is classic @Apple http://disq.us/8f4kw3",1
"xdoc249","@wayneshurts @Apple @appletweets Wayne that's awesome ????",1
"xdoc250","Why hasn't @Apple come out with a pie or a crisp yet? #piephone",1
"xdoc251","if you ask me, @apple should be the phone company, and connect you with whoever is providing the best coverage for wherever you are. DONE.",1
"xdoc252","@thepartycow @Motorola @twitter @Apple @adambain I believe #winthemoment is the correct term? ;)",1
"xdoc253","LOL. RT @GCYC: @brenberryblast If my phone can half echrofon half whatsapp I sure reply. This is good feedback @apple should look into this.",1
"xdoc254","So many tech companies (@Apple, @Cisco, @SalesForce, and @Oracle) match employee donations - http://ow.ly/oBK5i",0
"xdoc255","{#IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO #IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO  @apple @itune}",0
"xdoc256","A #IPODPLAYERPROMO #IPOD #IPAD #ITUNES #APPLE #PROMO#IPODPLAYERPROMO @apple @itune",0
"xdoc257","The only thing I'm asking from @Apple is a waterproof iPhone.",0
"xdoc258","Dear @Apple, in your next iOS update, please make the male Siri voice sound like JARVIS from #IronMan.    Sincerely,   Everyone.",1
"xdoc259","Hey @apple @TimCookAppleCEO, I don't mean no harm, but next update, can I get some brown ppl face emoticons pls? ?????????????????????? Thx",-1
"xdoc260","""The axis today is not conservative vs liberal. It is constructive vs destructive.""  #quote #qotd #wordsofwisdom #wow #SteveJobs @apple",0
"xdoc261","Shiny new @Apple phone! If you're into that -> RT @sprint: iPhone 5s is coming to Sprint on September 20th. http://bit.ly/1aHyzmO",1
"xdoc262","I'd be surprised if @Apple doesn't release a future version of the the iPad Mini in the pastel colours of the iPhone 5C. cc: @pschiller",0
"xdoc263","@windowsphone thirty-two bit has NO ""S"" but the @apple Sixty-four bit DOES. And so does SLAMMED",0
"xdoc264","Hey @apple I got an idea for the new iPhones, why not a refillable lighter fluid compartment, why let bic and zippos have all the fun?",1
"xdoc265","Live from Apple's Town Hall. Apple 2.0 - Covering the business that Steve Jobs built  http://pb2.co/8ppx5  @cnnmoney @apple #iphone #iso7",0
"xdoc266","@tomlinshortcake @Apple my phone does that too!",0
"xdoc267","Wij wensen onze @SoMeMonteur veel plezier en nieuwsgierigheid in #NYC !! Bezoekje @apple store - will be fun!!",1
"xdoc268","@laurenjessa @Apple @bubblemania @lxforever working on it, already #level6",0
"xdoc269","Just left the @apple store put @TheMIXXRadio on every App Store and safari page I could. @GiniaNightly @The_Hott_Spot @TheMixxHangout",0
"xdoc270","""@highsnobiety: Have you pre-ordered your @Apple #iphone5c today... http://bit.ly/1eARpLz  pic.twitter.com/PoEGS09TRb""@AlifBladz",0
